Year,Violent
1960,107.7
1961,100.7
1962,91.4
1963,107.2
1964,136.6
1965,135.8
1966,162.9
1967,219.5
1968,216.7
1969,220.1
1970,222.3
1971,240.7
1972,244.7
1973,289.9
1974,316.2
1975,348.3
1976,303.9
1977,322.9
1978,344.1
1979,366.2
1980,335.2
1981,310.3
1982,324.7
1983,297.7
1984,321.4
1985,347.6
1986,394.8
1987,412
1988,422.7
1989,473.7
1990,532.2
1991,593.3
1992,576.5
1993,593.3
1994,595.1
1995,553.2
1996 ,524.3 
1997 ,526.9 
1998 ,490.2 
1999 ,425.2 
2000 ,445.3 
2001 ,452.4 
2002 ,425.0 
2003 ,456.4 
2004 ,502.3 
2005 ,528.5 
2006 ,551.6 
2007 ,529.4 
2008 ,504.6 
2009 ,515.8 
2010,503.5
2011,480.9
2012,469.6
2013,463.2
2014,480.2
2015,529.5
2016,554.3
2017,566
2018,561.6
2019,584.6
