Year ,Violent,Property 
1965 ,325.4 ,"2,740.3 "
1966 ,342.6 ,"2,995.4 "
1967 ,409.7 ,"3,367.2 "
1968 ,543.9 ,"4,035.4 "
1969 ,577.9 ,"3,991.8 "
1970 ,685.0 ,"4,286.3 "
1971 ,788.7 ,"4,295.4 "
1972 ,754.3 ,"3,626.6 "
1973 ,741.7 ,"3,716.8 "
1974 ,803.0 ,"4,231.0 "
1975 ,856.4 ,"4,779.3 "
1976 ,868.1 ,"5,357.0 "
1977 ,831.8 ,"5,255.8 "
1978 ,841.0 ,"4,951.2 "
1979 ,917.4 ,"5,287.7 "
1980 ,"1,029.5 ","5,882.0 "
1981 ,"1,069.6 ","5,835.8 "
1982 ,990.1 ,"5,478.1 "
1983 ,914.1 ,"4,988.5 "
1984 ,914.3 ,"4,662.9 "
1985 ,929.9 ,"4,658.6 "
1986 ,985.9 ,"4,781.8 "
1987 ,"1,008.1 ","4,944.3 "
1988 ,"1,097.3 ","5,212.0 "
1989 ,"1,131.2 ","5,162.1 "
1990 ,"1,180.9 ","5,182.8 "
1991 ,"1,163.9 ","5,080.7 "
1992 ,"1,122.1 ","4,736.3 "
1993 ,"1,073.5 ","4,477.8 "
1994 ,965.6 ,"4,105.0 "
1995 ,841.9 ,"3,718.3 "
1996 ,727.0 ,"3,405.3 "
1997 ,688.6 ,"3,222.4 "
1998 ,637.8 ,"2,950.7 "
1999 ,588.8 ,"2,690.6 "
2000 ,553.9 ,"2,545.7 "
2001 ,513.6,"2,399.90"
2002 ,496.6 ,"2,310.5 "
2003 ,465.8 ,"2,249.0 "
2004 ,440.4 ,"2,192.5 "
2005 ,444.4 ,"2,101.9 "
2006 ,434.9 ,"2,052.7 "
2007 ,414.1 ,"1,978.6 "
2008,398.3 ,"1,996.0 "
2009,384.4 ,"1,932.0 "
2010,394.4,"1,957.80"
2011,397.2,"1,906.70"
2012,406.3,"1,917.00"
2013,393.8,"1,820.70"
2014,384.7,"1,717.10"
2015,380.4,"1,606.40"
2016,376.2,"1,545.60"
2017,361.1,"1,497.60"
2018,350.8,"1,441.60"
2019,358.6,"1,373.30"
