state,DomesticViolenceAgainstWomen,DomesticViolenceAgainstMen,,,code
Alabama,37.5,29.5,,,AL
Alaska,43.3,30.2,,,AK
Arizona,42.6,33.4,,,AZ
Arkansas,40.8,34.8,,,AR
California,34.9,31.1,,,CA
Colorado,36.8,30.5,,,CO
Connecticut,37.7,33.9,,,CT
Delaware,37.6,32.7,,,DE
District of Columbia,,24.4,,,
Florida,37.9,29.3,,,FL
Georgia,37.4,30.4,,,GA
Hawaii,34.7,24.1,,,HI
Idaho,33,38.2,,,ID
Illinois,41.5,25.9,,,IL
Indiana,42.5,27.9,,,IN
Iowa,35.3,29.3,,,IA
Kansas,33.9,31.1,,,KS
Kentucky,45.3,35.5,,,KY
Louisiana,35.9,35.2,,,LA
Maine,39.3,33.6,,,ME
Maryland,34.4,28.8,,,MD
Massachusetts,33.9,31.7,,,MA
Michigan,36.1,25.8,,,MI
Minnesota,33.9,25.1,,,MN
Mississippi,39.7,31.7,,,MS
Missouri,41.8,35.2,,,MO
Montana,37.2,34.6,,,MT
Nebraska,33.7,28,,,NE
Nevada,43.8,32.8,,,NV
New Hampshire,34.7,35.4,,,NH
New Jersey,35.8,27.4,,,NJ
New Mexico,37.6,33.3,,,NM
New York,31.7,29,,,NY
North Carolina,35.2,30.3,,,NC
North Dakota,29.7,18.5,,,ND
Ohio,38,33,,,OH
Oklahoma,40.1,37.8,,,OK
Oregon,39.8,36.2,,,OR
Pennsylvania,37.1,30.4,,,PA
Rhode Island,32.6,25.4,,,RI
South Carolina,42.3,29.2,,,SC
South Dakota,33.7,30.2,,,SD
Tennessee,39.6,36.8,,,TN
Texas,40.1,34.9,,,TX
Utah,33.6,21.4,,,UT
Vermont,39.2,30.9,,,VT
Virginia,33.6,28.6,,,VA
Washington,41.4,31.7,,,WA
West Virginia,39.4,36.3,,,WV
Wisconsin,36.3,32.1,,,WI
Wyoming,33.9,30.5,,,WY
United States,37.29123104,30.93526027,,,US
